雃博,	4106
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,27.54,287.62,247.16,9.63,10.55,34.59,9.59,12.52,4.93,1.39,NA,NA,11.73
2001,24.83,326.79,295.26,8.85,13.85,26.35,15.18,19.98,8.39,2.34,125.01,33.77,12.86
2002,24.10,356.02,281.77,7.46,9.51,38.38,18.96,24.94,11.10,3.07,3.84,1.01,13.85
2003,35.24,265.82,226.20,7.08,6.96,52.44,14.26,20.45,12.59,2.78,70.95,14.95,15.64
2004,27.64,354.24,291.55,7.50,7.89,46.26,9.51,13.45,10.94,1.83,77.50,8.98,14.42
2005,26.61,351.99,302.17,7.57,10.33,35.33,8.72,11.55,9.23,1.65,87.72,8.95,14.96
2006,26.79,287.75,251.54,6.46,11.34,32.18,4.36,5.57,4.60,0.81,36.89,6.30,14.39
2007,26.27,288.16,250.64,6.00,12.65,28.85,11.94,15.37,11.63,2.33,60.84,11.51,16.13
2008,24.35,284.83,224.88,6.36,12.29,29.69,11.02,14.37,10.59,2.34,116.05,13.83,16.87
2009,18.71,271.33,240.69,5.91,14.10,25.88,13.91,17.57,14.76,2.94,101.03,11.55,17.59
2010,16.17,258.54,223.48,6.17,13.17,27.71,11.61,14.06,12.46,2.38,73.45,11.50,17.15
2011,19.48,170.33,143.57,6.21,11.25,32.44,13.76,16.77,15.66,2.79,67.46,9.77,17.67
2012,24.87,92.50,71.88,5.73,9.57,38.14,10.30,13.18,15.25,2.35,58.44,8.83,18.03
2013,24.68,179.89,133.84,7.80,4.11,88.80,6.24,8.17,7.25,1.60,36.55,7.90,19.26
2015,33.19,154.39,111.74,7.75,3.29,110.94,7.05,9.56,8.63,2.02,33.53,9.42,20.02
2016,39.87,171.78,124.81,7.69,3.11,117.36,5.07,7.59,6.16,1.47,29.61,6.11,18.64
2017,37.77,190.29,135.00,6.83,3.15,115.87,4.87,7.47,5.66,1.42,26.41,4.87,19.26
