永捷,	4714
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,23.24,217.46,174.48,4.16,11.11,32.85,6.37,8.49,5.00,1.03,1.11,0.28,12.60
2001,17.57,241.42,184.19,4.31,11.04,33.06,3.44,4.31,2.76,0.50,74.02,12.77,11.90
2002,18.31,289.26,230.46,5.44,9.96,36.64,11.91,14.52,9.70,1.82,106.88,19.74,12.90
2003,23.88,257.68,206.30,5.10,8.13,44.89,13.92,17.65,12.31,2.43,35.96,-0.27,13.65
2004,15.99,334.11,210.81,4.56,6.37,57.29,9.13,11.43,8.44,1.58,46.34,0.00,13.09
2005,20.24,223.16,161.86,4.58,6.34,57.57,-2.84,-3.47,-2.74,-0.45,126.56,17.59,12.22
2006,19.09,264.90,173.76,5.13,7.24,50.41,7.85,9.74,7.02,1.25,-63.87,-11.74,13.48
2007,34.40,158.62,105.60,4.31,7.30,50.00,4.49,6.10,3.86,0.82,-16.39,-13.51,13.35
2008,19.38,219.40,140.37,4.62,7.47,48.86,3.64,4.82,3.24,0.67,127.31,20.09,14.36
2009,20.45,222.95,150.13,3.96,5.29,68.99,7.86,9.81,9.85,1.47,5.91,0.00,15.92
2010,26.05,184.50,129.45,3.75,6.73,54.23,6.82,8.87,7.07,1.45,0.00,0.00,16.65
2011,24.64,197.37,133.50,3.57,6.65,54.88,5.33,7.02,5.32,1.09,NA,NA,14.45
2012,46.08,254.67,200.44,3.46,5.14,71.01,0.71,0.50,0.43,0.07,56.81,12.08,12.99
2013,41.77,130.93,95.36,3.65,4.41,82.76,4.05,6.18,4.37,0.85,15.40,8.84,14.58
2015,27.03,219.39,153.68,4.13,3.84,95.05,1.85,1.94,2.31,0.27,13.42,1.83,13.36
2016,17.62,350.59,284.51,2.45,2.96,123.31,2.48,3.19,6.36,0.46,48.92,4.36,13.37
