寶得利,	5301
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,57.98,73.79,49.67,4.05,6.58,55.47,-0.02,-10.53,-5.70,-1.11,0.00,0.00,9.95
2001,65.54,85.10,68.17,2.87,6.17,59.15,2.38,1.73,0.83,0.17,0.00,0.00,10.18
2002,59.94,87.30,70.49,2.73,7.34,49.72,0.70,-2.09,-0.93,-0.21,0.22,0.17,10.10
2003,63.45,102.47,89.24,2.72,10.36,35.23,2.26,3.37,1.35,0.35,0.00,0.00,10.43
2004,70.12,85.49,71.75,2.52,10.51,34.72,-14.31,-37.45,-13.15,-3.28,0.08,0.06,7.10
2005,76.14,76.81,63.98,2.68,8.76,41.66,-6.09,-26.35,-7.19,-1.66,0.04,0.05,5.47
2006,77.52,83.24,62.53,4.30,11.19,32.61,3.55,7.58,1.70,0.64,9.91,12.90,6.11
2007,81.79,77.67,60.79,3.90,10.79,33.82,-2.69,-19.97,-2.77,-1.11,-13.60,-16.24,5.00
2008,77.66,117.03,85.70,3.09,8.92,40.91,2.06,1.52,0.24,0.08,-0.29,-0.17,5.08
2009,72.53,74.80,48.14,3.55,6.76,53.99,-8.40,-41.49,-9.91,-3.26,46.80,25.58,6.08
2010,82.53,55.70,34.73,7.17,10.84,33.67,-16.51,-20.29,-15.13,-6.94,9.95,6.40,4.40
2011,94.90,68.63,21.06,13.83,15.65,23.32,-18.58,-162.50,-16.63,-9.48,-30.48,-20.09,1.35
2012,76.92,111.05,77.16,2.40,4.86,75.10,2.68,13.77,2.51,0.35,-27.11,-88.82,2.72
2013,34.66,264.98,81.69,3.92,2.31,158.00,8.71,20.75,6.03,1.13,-69.68,-34.96,5.06
2014,32.19,358.70,131.11,23.29,1.21,301.65,12.74,18.52,7.31,1.73,-56.20,-12.38,13.37
2015,24.13,301.80,111.91,23.16,1.49,244.96,3.30,4.10,2.45,0.58,-57.64,-17.52,15.62
2016,24.64,252.40,44.16,17.06,0.60,608.33,-9.02,-12.34,-12.78,-1.44,-30.75,-10.92,12.27
2017,24.45,242.71,43.00,6.03,0.25,1460.00,-15.31,-20.89,-47.41,-2.44,26.30,-5.09,10.60
