鼎創達,	5304
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,12.00,660.00,633.00,10.28,68.25,5.34,24.00,29.00,21.00,3.23,182.00,12.00,15.59
2001,5.00,1511.00,1469.00,10.73,34.83,10.47,1.00,1.00,1.00,0.08,191.00,6.00,13.08
2002,18.00,334.00,312.00,5.36,26.36,13.84,3.00,4.00,5.00,0.40,46.00,8.00,11.03
2003,26.00,221.00,193.00,4.36,11.78,30.98,19.00,25.00,26.00,3.10,20.00,6.00,13.71
2004,11.00,624.00,539.00,5.07,8.71,41.90,-19.00,-25.00,-25.00,-2.46,18.00,0.00,8.36
2005,49.79,317.68,291.75,4.39,4.68,77.99,-93.79,-120.86,-178.64,-6.31,52.70,9.15,1.93
2006,50.67,639.82,562.00,2.53,1.63,223.92,-12.55,-17.03,-204.09,-0.28,-191.97,-9.42,1.67
2007,64.17,191.73,191.73,45.53,0.00,*****,-23.42,-54.71,-1127663.00,-4.95,-44.37,0.02,6.26
2008,81.44,194.24,194.24,80.49,0.00,*****,-13.64,-50.28,-360804.04,-2.06,5.25,0.28,2.64
2009,71.56,624.85,622.27,0.00,0.00,*****,1.31,5.59,154.73,0.19,-235.07,-3.24,3.98
2010,63.90,761.15,757.86,0.00,0.00,*****,1.50,4.62,67.55,0.22,146.86,3.03,5.57
2011,67.85,1256.64,1255.22,0.00,0.00,*****,6.05,17.75,236.18,0.94,375.10,5.72,5.06
2012,66.29,1301.05,1300.00,0.00,0.00,*****,-4.59,-13.95,-172.93,-0.72,108.27,1.72,5.25
2013,75.82,50.73,43.01,15.52,3.80,96.05,-2.48,-16.95,-22.06,-1.04,142.97,3.71,3.07
2014,75.61,65.21,60.46,14.52,3.04,120.06,9.07,27.85,45.10,1.47,6.25,13.62,3.68
2015,80.97,62.88,57.07,16.71,3.57,102.24,-3.02,-30.54,-40.48,-1.50,0.69,0.59,2.55
2016,78.25,65.51,60.93,8.74,3.26,111.96,-3.29,-27.50,-28.93,-1.23,-5.84,-12.05,3.00
2017,80.89,62.05,57.49,8.97,4.51,80.93,-2.63,-23.38,-19.57,-1.03,0.00,0.00,2.31
