通泰,	5487
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,13.31,566.64,508.00,7.70,8.00,45.62,16.15,18.70,22.45,3.47,114.53,12.91,20.19
2001,9.77,955.01,863.55,5.49,4.64,78.66,8.34,9.42,17.01,1.50,-0.84,-1.98,16.45
2002,11.89,800.38,756.72,5.25,5.99,60.93,8.42,9.45,16.74,1.47,125.64,9.51,16.20
2003,13.24,756.88,725.22,4.73,8.10,45.06,12.57,14.39,23.24,2.27,143.81,12.83,16.77
2004,13.91,776.27,709.16,4.55,6.19,58.96,12.12,14.03,25.32,2.27,131.18,5.27,16.71
2005,14.05,789.56,737.63,3.74,4.27,85.48,3.79,4.41,10.71,0.67,95.01,1.62,15.15
2006,13.72,839.94,782.75,4.11,5.58,65.41,7.67,8.91,19.26,1.35,78.02,3.13,16.14
2007,15.35,681.94,610.11,4.54,5.34,68.35,8.22,9.62,17.52,1.56,56.04,0.18,16.27
2008,14.24,764.74,686.43,4.77,4.67,78.15,5.99,7.03,12.21,1.12,93.43,2.00,16.11
2009,17.19,673.39,605.69,4.86,4.66,78.32,7.39,8.77,13.92,1.43,57.99,1.95,16.54
2010,13.80,950.02,863.81,5.14,5.04,72.42,6.01,7.11,10.65,1.17,79.69,-0.01,16.44
2011,14.14,901.68,826.03,5.11,5.18,70.46,4.78,5.56,9.22,0.91,78.10,1.53,16.39
2012,17.15,737.61,642.27,5.40,4.71,77.49,4.94,5.84,9.04,0.95,105.68,4.03,22.70
2013,14.96,699.57,645.50,6.17,5.17,70.59,6.84,8.14,11.64,1.86,59.32,-1.20,23.04
2014,16.34,619.51,534.70,5.30,4.49,81.29,6.88,8.16,12.89,1.86,26.57,-6.08,22.46
2015,16.54,683.99,599.29,4.84,3.74,97.59,5.83,6.98,10.63,1.55,48.79,-2.39,21.85
2016,18.64,575.01,489.16,5.37,4.27,85.48,6.95,8.43,10.60,1.85,52.08,0.37,21.97
2017,20.43,512.70,407.94,5.37,3.68,99.18,4.93,6.13,7.25,1.32,14.77,-5.40,21.16
2018,14.46,830.15,639.25,4.97,2.79,130.82,3.97,4.82,6.20,1.02,-23.09,-8.85,20.94
