豐謙,	5523
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,18.73,304.64,97.25,0.73,0.62,588.70,0.00,0.00,0.00,0.00,349.00,75.00,10.55
2001,16.73,282.00,147.80,15.61,0.65,561.53,0.00,0.00,0.00,0.00,77.25,14.00,9.00
2002,46.62,152.29,19.78,113.97,0.81,450.61,7.36,10.81,12.75,1.03,0.00,0.00,10.03
2003,48.83,167.09,23.94,41.51,0.63,579.36,11.29,21.17,18.75,2.28,0.00,0.00,11.78
2004,56.23,149.71,23.34,11.71,0.33,1106.06,5.73,11.69,15.97,1.33,0.00,0.00,11.79
2005,58.88,147.40,21.56,9.72,0.31,1177.41,79.00,18.07,25.31,2.14,0.00,0.00,12.74
2006,65.90,138.64,17.61,8.40,0.35,1042.85,8.71,23.01,23.30,2.91,0.00,0.00,13.84
2007,62.38,165.02,16.46,9.22,0.38,960.52,5.98,15.79,14.13,2.00,0.00,0.00,13.24
2008,40.30,268.08,39.67,3.72,0.15,2433.33,-1.93,-3.08,-10.13,-0.36,98.01,33.20,11.73
2009,46.22,156.19,15.96,5.32,0.33,1106.06,-0.03,-6.40,-17.06,-0.75,1.85,1.36,10.86
2010,38.38,314.91,48.36,14.40,0.54,675.92,14.90,1.24,1.99,0.14,11.66,3.25,11.22
2011,24.19,425.52,66.11,13.51,0.19,1921.05,-9.43,-14.85,-96.85,-1.34,0.00,0.00,9.01
2012,39.44,574.12,141.42,11.60,0.08,4562.50,-17.43,-25.60,-319.58,-2.04,0.00,0.00,6.96
2013,71.38,283.71,36.42,13.81,0.06,6083.33,-12.84,-31.91,-253.57,-2.99,0.00,0.00,7.88
2014,61.31,344.60,61.07,193.35,0.48,760.41,13.07,33.46,21.20,3.17,23.61,9.45,11.05
2015,66.42,227.98,19.02,0.60,0.00,*****,-1.14,-6.29,-2366.09,-0.67,0.00,0.00,10.36
2016,73.45,164.60,8.18,4.93,0.06,6083.33,0.29,-2.15,-8.80,-0.22,0.00,0.00,10.15
2017,48.42,295.96,11.85,25.16,0.36,1013.88,5.92,12.03,11.33,1.33,79.91,28.62,11.08
