順天,	5525
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,38.06,202.15,19.91,10.10,0.60,608.33,6.43,10.57,12.61,1.35,5.05,-3.56,12.98
2001,30.88,230.36,44.61,7.36,0.79,462.02,3.04,4.58,5.58,0.57,58.63,20.67,12.54
2002,23.36,287.48,47.53,9.05,0.88,414.77,5.48,7.48,9.39,0.99,50.43,9.85,12.54
2003,30.55,229.74,67.05,18.48,1.03,354.36,6.72,9.24,10.74,1.24,25.32,6.16,13.12
2004,35.89,228.93,29.55,43.80,1.07,341.12,20.06,30.26,22.41,4.42,0.00,0.00,16.69
2005,35.79,240.79,10.27,47.31,0.64,570.31,15.75,24.55,23.21,3.64,26.67,3.44,15.74
2006,52.15,164.68,3.01,50.64,0.56,651.78,12.13,22.34,19.85,3.42,0.00,0.00,16.32
2007,47.20,150.07,2.07,71.40,0.41,890.24,10.14,19.86,22.39,3.11,19.37,8.47,16.53
2008,54.08,140.10,3.95,55.51,0.28,1303.57,6.03,12.31,21.89,1.76,9.28,9.08,15.19
2009,60.31,157.38,7.13,25.49,0.12,3041.66,3.98,9.20,27.32,1.31,0.00,0.00,14.85
2010,63.49,142.98,6.76,24.78,0.10,3650.00,4.37,11.29,32.87,1.66,0.00,0.00,15.32
2011,61.57,157.28,4.10,61.15,0.12,3041.66,0.99,2.64,8.08,0.38,10.68,8.88,14.26
2012,60.00,172.01,1.68,102.77,0.26,1403.84,4.74,11.75,16.36,1.75,5.98,3.75,15.62
2013,55.98,139.34,3.20,50.47,0.34,1073.52,7.48,17.60,21.09,2.69,19.86,17.86,16.25
2014,61.90,130.83,7.71,24.40,0.55,663.63,6.26,15.20,14.45,2.46,0.00,0.00,16.59
2015,53.96,137.55,12.44,9.41,0.57,640.35,6.04,14.06,15.67,2.40,10.46,4.94,17.34
2016,56.71,127.11,5.84,2.47,0.16,2281.25,0.81,1.39,5.99,0.24,22.62,19.94,16.09
2017,62.04,128.68,6.43,4.43,0.18,2027.77,2.85,6.85,18.85,1.20,0.00,0.00,17.88
