志嘉,	5529
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,77.83,108.16,55.68,1.20,0.34,1073.52,-9.33,-56.01,-70.22,-3.82,50.37,129.10,5.27
2001,77.00,110.00,50.00,0.63,0.51,715.68,-5.00,-37.00,-41.00,-3.28,36.00,86.00,7.27
2002,93.00,102.00,7.00,1.05,0.65,561.53,-23.00,-147.00,-114.00,-6.16,83.00,161.00,1.12
2003,83.00,121.00,61.00,26.52,0.43,848.83,9.00,55.00,28.00,6.97,12.00,20.69,14.25
2005,61.00,374.00,30.00,1389.17,0.23,1586.95,8.00,21.00,32.00,4.04,-4.00,-2.00,20.22
2006,70.00,173.00,12.00,333.14,0.05,7300.00,-2.09,-7.26,-40.00,-1.16,-31.91,-43.36,15.30
2007,73.00,138.00,4.00,2219.86,0.04,9125.00,-0.07,-3.19,-17.39,-0.44,-18.87,-48.56,13.47
2008,61.93,160.55,8.82,55.76,0.38,960.52,5.55,12.36,8.46,1.78,60.54,97.86,15.24
2009,43.76,216.66,23.29,19.89,0.48,760.41,2.40,2.35,2.14,0.35,70.90,54.25,14.88
2010,67.91,140.24,12.08,18.12,0.43,848.83,-2.48,-9.37,-15.33,-1.27,46.69,18.05,12.91
2011,74.01,42.10,9.30,32.32,0.72,506.94,-2.57,-15.26,-22.10,-1.66,25.37,27.02,10.07
2012,33.83,494.69,357.59,125.52,2.57,142.02,41.09,85.67,45.97,15.09,760.34,89.38,25.16
2013,51.41,346.33,150.95,7.70,0.65,561.53,3.68,5.18,11.34,0.75,0.10,-3.55,14.53
2014,46.00,450.02,126.84,4.80,0.31,1177.41,0.02,-1.69,-5.67,-0.21,32.40,0.79,12.05
2015,61.27,170.22,18.93,2.13,0.01,36500.00,-2.65,-7.43,-395.46,-0.84,-83.10,-54.52,10.81
2016,70.06,155.72,17.40,18.35,0.07,5214.28,-3.38,-13.67,-110.75,-1.38,-19.10,-14.81,9.42
2017,72.91,108.52,33.83,3.42,0.42,869.04,-3.58,-17.27,-20.44,-1.50,-8.74,-11.07,7.93
2018,73.17,94.99,10.05,0.83,0.12,3041.66,-4.25,-19.89,-77.59,-1.36,-25.11,32.65,6.67
