台聯櫃,	5601
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,41.90,1292.00,1249.00,24.24,1.00,365.00,3.08,5.33,84.80,0.80,424.00,0.92,15.50
2001,41.85,1675.03,1657.35,15.96,1.00,365.00,1.55,2.63,44.76,0.41,760.00,-0.36,15.38
2002,42.49,1183.00,1178.00,13.38,1.00,365.00,-0.12,-0.22,-4.65,-0.03,480.00,-0.36,14.98
2003,42.95,1145.00,1143.00,13.70,1.00,365.00,0.19,0.33,7.65,0.05,383.00,1.85,14.71
2004,43.14,1327.00,1325.00,15.87,1.00,365.00,0.45,0.79,17.33,0.12,525.00,1.57,14.63
2005,25.06,775.00,774.00,16.19,1.00,365.00,2.47,3.90,87.98,0.64,201.00,1.52,20.08
2006,25.28,864.11,863.18,16.37,1.00,365.00,0.65,0.86,21.60,0.17,213.04,-0.98,19.73
2007,25.23,941.09,940.41,18.61,1.00,365.00,1.19,1.58,36.55,0.31,304.07,0.26,19.78
2008,25.16,889.39,888.79,19.61,1.00,365.00,0.94,1.24,28.51,0.25,278.97,0.22,19.74
2009,25.13,969.75,969.43,18.09,1.00,365.00,0.94,1.25,29.37,0.25,258.94,0.24,19.76
2010,26.11,1021.59,1021.40,15.91,1.00,365.00,0.98,1.31,30.97,0.26,267.99,0.27,19.80
2011,25.12,1001.30,1000.99,15.30,1.00,365.00,1.10,1.47,30.28,0.29,276.42,0.41,19.85
2012,24.95,1279.73,1279.59,14.88,1.00,365.00,1.53,2.03,40.55,0.41,289.55,0.35,19.96
2013,25.94,471.96,471.82,14.21,1.00,365.00,1.09,1.46,28.32,0.30,250.78,-0.22,20.98
2014,25.25,1071.65,1071.40,12.46,1.00,365.00,3.56,4.78,94.79,1.02,38.58,-3.43,21.70
2015,25.99,495.16,477.66,12.67,1.00,365.00,0.87,1.16,21.40,0.25,117.81,-5.49,21.24
2016,25.77,736.51,736.41,12.91,1.00,365.00,1.14,1.53,27.07,0.32,167.41,-4.02,21.07
2017,25.87,720.96,720.87,14.91,1.00,365.00,1.10,1.48,25.42,0.31,244.64,1.43,21.08
