大豐電,	6184
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,19.09,182.40,161.25,123.54,NA,NA,10.41,13.05,12.42,1.28,118.73,23.48,10.42
2001,15.98,238.19,232.62,41.80,NA,NA,16.42,19.39,21.29,2.35,147.49,23.05,13.44
2002,18.83,213.26,208.51,25.20,NA,NA,18.74,22.56,27.78,3.15,140.02,9.34,14.51
2003,21.32,205.87,200.44,25.14,NA,NA,21.46,26.65,33.41,4.01,137.74,11.11,15.61
2004,10.28,456.33,447.68,24.72,75.11,4.85,19.15,22.34,36.64,3.85,221.67,15.63,17.85
2005,10.13,443.55,438.48,20.08,52.07,7.00,17.39,19.36,37.68,3.49,224.48,6.53,18.21
2006,10.63,448.60,442.37,17.90,62.18,5.87,18.49,20.63,41.26,3.87,220.33,8.01,19.30
2007,9.40,507.19,493.40,23.45,30.71,11.88,18.09,20.10,39.11,4.01,215.36,5.76,20.56
2008,13.08,391.12,383.55,16.57,22.23,16.41,13.49,15.20,30.27,3.09,372.98,29.47,20.08
2009,12.67,361.62,355.71,10.54,27.51,13.26,17.66,20.27,40.80,4.23,125.32,3.21,21.64
2010,13.35,346.94,342.21,9.92,33.79,10.80,18.66,21.45,45.91,4.81,163.89,7.57,23.18
2011,10.68,395.04,389.88,10.58,37.35,9.77,16.73,19.01,44.65,4.08,51.68,0.00,22.42
2012,10.25,65.05,60.09,11.28,39.18,9.31,17.10,19.10,48.88,4.07,272.02,14.59,22.19
2013,38.45,440.56,437.18,13.30,24.52,14.88,7.02,14.71,31.28,3.03,39.16,3.47,20.97
2014,42.87,271.56,264.54,10.47,13.55,26.93,5.41,11.13,37.42,3.70,132.67,28.70,31.42
2015,41.50,101.09,92.25,14.36,10.18,35.85,3.66,7.38,16.16,2.33,18.95,4.41,31.79
2016,49.25,188.30,180.21,12.78,13.77,26.50,-2.43,-5.61,-16.26,-1.25,31.41,6.60,26.55
2017,46.04,238.22,230.85,11.63,21.78,16.75,4.51,8.60,19.21,2.37,86.11,16.57,28.48
2018,61.26,108.63,106.14,10.02,25.10,14.54,4.08,8.46,17.83,2.37,28.41,18.11,27.61
