帆宣,	6196
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,61.15,147.85,90.41,4.75,6.68,54.64,24.72,79.15,12.11,11.50,10.22,13.61,40.86
2001,41.75,210.38,134.42,4.29,7.34,49.72,17.42,34.30,9.54,9.48,*****,*****,33.90
2002,35.34,245.35,156.28,4.24,9.49,38.46,15.52,24.96,9.08,7.57,14.46,6.91,34.98
2003,50.42,255.56,190.28,4.66,8.27,44.13,12.02,21.17,7.35,6.32,31.46,11.12,32.42
2004,67.63,147.76,80.20,3.64,6.97,52.36,8.38,21.15,6.17,5.92,NA,NA,29.65
2005,58.80,164.57,104.43,3.09,5.84,62.50,5.39,14.12,4.10,3.57,35.08,22.30,26.33
2006,61.52,143.12,87.06,3.16,5.26,69.39,4.96,11.99,3.66,2.83,5.40,2.86,24.57
2007,58.46,161.62,105.21,2.57,3.02,120.86,2.97,6.73,2.64,1.66,9.59,2.84,24.80
2008,55.22,153.28,85.04,3.09,2.60,140.38,2.85,5.63,2.11,1.43,9.40,5.31,26.09
2009,42.53,180.63,108.22,1.73,1.61,226.70,-1.87,-4.16,-3.73,-0.96,43.29,18.47,22.55
2010,52.97,146.29,92.66,3.64,3.46,105.49,2.00,3.72,1.74,0.88,23.76,18.72,25.04
2011,48.15,146.00,88.02,4.18,3.55,102.81,4.67,9.41,3.56,2.35,1.10,-2.42,25.12
2012,44.37,142.91,85.98,3.52,3.15,115.87,3.41,6.35,3.18,1.58,15.44,6.66,24.66
2013,59.12,138.17,99.99,4.72,3.44,106.10,2.50,5.39,1.56,1.35,-3.97,-7.16,24.96
2014,62.81,135.43,101.87,4.60,3.10,117.74,3.75,9.04,2.57,2.33,7.85,6.71,26.51
2015,62.56,136.04,99.78,5.14,3.43,106.41,4.15,10.40,2.55,2.78,-2.70,-8.89,27.02
2016,67.30,137.68,102.89,4.55,3.44,106.10,4.29,11.27,2.74,3.12,-2.71,-8.65,27.91
2017,67.99,131.53,94.30,4.45,2.96,123.31,4.65,13.31,3.21,3.77,12.10,12.69,29.06
2018,68.53,125.95,91.11,5.18,2.72,134.19,4.87,14.38,3.20,4.40,0.80,-4.61,30.53
