旺矽,	6223
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,37.21,294.43,227.49,4.99,3.11,117.36,29.19,44.45,30.29,3.66,53.72,14.18,17.07
2001,25.94,421.71,328.65,3.74,1.75,208.57,16.89,23.39,28.26,3.17,47.70,9.36,15.96
2002,21.37,432.98,323.92,5.14,3.11,117.36,25.73,33.11,33.57,5.07,52.45,6.92,17.65
2003,34.40,232.76,167.39,3.30,2.94,124.14,21.28,29.82,35.79,5.09,52.13,1.71,18.30
2004,32.15,330.79,212.38,4.26,2.91,125.42,34.65,51.59,39.14,11.30,101.51,10.52,26.83
2005,30.36,218.33,139.95,2.85,2.08,175.48,15.48,22.36,26.44,4.94,99.37,2.48,22.24
2006,29.61,158.78,104.49,3.57,2.91,125.42,20.67,29.38,26.81,6.89,51.37,17.76,26.94
2007,40.58,214.20,124.72,3.29,2.49,146.58,16.17,24.73,24.60,6.30,48.47,4.89,29.43
2008,37.26,216.49,126.53,4.09,2.56,142.57,8.69,13.59,13.29,3.45,87.62,12.41,27.13
2009,42.16,149.22,81.56,3.45,1.58,231.01,-0.24,-0.84,-1.21,-0.23,15.27,5.83,26.74
2010,51.39,152.45,73.62,5.99,1.60,228.12,15.66,30.03,20.89,9.53,34.44,30.28,38.47
2011,36.14,187.65,81.45,5.65,1.31,278.62,11.51,20.81,16.56,7.99,11.91,18.82,40.36
2012,36.60,163.02,66.83,4.37,0.97,376.28,5.91,9.28,10.57,3.67,25.21,1.94,39.26
2013,34.84,182.43,77.96,4.71,1.08,337.96,5.70,8.96,8.93,3.52,16.62,1.74,39.88
2014,41.40,182.30,88.49,6.36,1.38,264.49,9.37,15.19,12.45,6.62,21.58,5.17,46.84
2015,45.15,115.91,50.99,4.97,1.33,274.43,4.68,7.96,7.33,3.71,-5.82,-9.89,45.98
2016,45.50,123.15,54.01,5.81,1.48,246.62,8.29,14.74,11.30,7.09,32.59,13.45,49.58
2017,50.89,124.47,51.98,4.99,1.27,287.40,2.19,3.85,3.36,1.83,-6.92,-9.56,47.16
