德勝,	8048
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2006,25.71,311.71,252.27,6.63,4.01,91.02,5.84,7.73,6.55,0.86,50.97,11.52,11.42
2007,20.33,386.59,315.97,8.24,4.76,76.68,13.09,16.99,13.46,2.00,83.56,13.43,12.56
2008,22.46,351.51,306.09,8.12,5.81,62.82,12.97,16.51,13.55,2.03,88.59,12.03,12.71
2009,18.51,407.19,367.02,6.34,5.81,62.82,7.69,9.66,11.18,1.25,60.76,7.78,13.06
2010,14.96,472.57,396.84,6.60,5.18,70.46,4.00,4.80,6.22,0.59,2.44,0.97,12.44
2011,15.46,440.12,386.87,6.92,4.70,77.65,2.89,3.41,4.89,0.41,82.44,10.50,12.40
2012,16.80,473.70,419.46,8.57,6.07,60.13,4.77,5.69,7.10,0.72,54.21,5.30,12.71
2013,31.76,260.31,207.47,11.96,5.86,62.28,7.54,10.18,7.97,1.27,58.64,19.34,12.87
2014,24.21,355.46,293.48,10.35,6.14,59.44,11.25,15.59,9.82,2.01,6.47,-1.30,13.85
2015,30.18,294.43,253.75,11.18,9.46,38.58,17.08,23.56,11.28,3.51,92.63,25.52,15.92
2016,22.36,402.51,370.59,11.87,10.47,34.86,12.17,16.54,9.86,2.59,79.92,5.41,15.90
2017,23.07,359.17,319.58,13.69,9.84,37.09,11.45,14.82,11.69,2.38,63.38,4.55,16.07
2018,25.93,325.40,282.57,12.45,6.06,60.23,10.45,13.85,13.06,2.22,50.84,2.31,15.99
