安國,	8054
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2002,14.77,335.31,298.56,7.69,8.84,41.28,2.44,2.83,2.83,0.30,82.19,13.30,10.80
2003,26.11,260.30,217.53,6.58,6.86,53.20,25.84,33.02,20.21,4.26,85.87,28.56,15.00
2004,31.94,247.53,191.39,5.43,4.40,82.95,21.24,30.11,17.30,4.17,86.41,38.01,15.46
2005,24.21,347.43,270.98,5.51,4.41,82.76,29.41,40.59,20.67,6.41,69.48,15.99,18.43
2006,23.04,369.48,298.88,4.62,4.49,81.29,23.92,31.27,18.30,5.29,96.53,21.61,19.79
2007,12.41,689.68,521.60,4.51,3.70,98.64,16.73,20.13,14.90,4.34,60.19,0.06,23.86
2008,19.33,442.88,344.58,4.83,3.58,101.95,7.47,8.86,6.83,1.90,107.47,19.32,21.35
2009,15.96,545.35,480.20,4.65,3.47,105.18,8.96,10.86,10.50,2.58,134.61,21.50,24.63
2010,22.37,392.54,310.71,5.47,4.27,85.48,9.10,11.28,9.63,2.85,16.26,-3.53,25.81
2011,22.87,370.01,299.82,5.75,4.10,89.02,12.22,15.79,11.44,4.17,104.85,22.89,27.14
2012,18.77,440.32,357.19,6.40,4.03,90.57,7.07,8.94,6.90,2.40,95.41,10.60,26.57
2013,24.47,352.75,298.78,8.77,4.61,79.17,5.61,7.17,5.53,2.21,53.25,12.25,27.28
2014,19.22,449.39,374.20,7.19,4.45,82.02,2.48,3.17,2.67,1.46,-14.12,-10.72,26.30
2015,15.47,541.77,477.27,7.75,4.06,89.90,0.34,0.42,0.42,0.83,75.67,9.60,25.96
2016,13.97,579.98,490.17,9.64,3.94,92.63,0.74,0.87,0.94,0.70,21.43,0.24,26.32
2017,12.15,605.68,461.78,11.00,3.79,96.30,3.35,3.85,4.55,1.07,34.97,2.64,26.74
2018,9.47,765.82,693.98,9.79,4.19,87.11,4.06,4.55,6.16,1.10,-29.38,-7.42,27.57
