洛碁,	8077
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2002,57.00,72.00,50.00,3.26,0.77,474.02,-12.00,-31.00,-114.00,-2.27,NA,NA,7.77
2003,61.00,43.00,31.00,2.86,1.63,223.92,-9.00,-24.00,-57.00,-1.77,NA,NA,6.56
2004,48.00,71.00,37.00,2.30,1.08,337.96,2.00,3.00,6.00,0.19,NA,NA,7.85
2005,71.00,49.00,33.00,1.96,0.96,380.20,-33.00,-82.00,-159.00,-4.59,NA,NA,3.29
2006,55.00,97.00,80.00,3.06,2.37,154.00,-10.61,-42.00,-49.00,-4.74,NA,NA,3.85
2007,47.12,86.09,70.03,3.63,9.81,37.20,-4.71,-10.97,-11.70,-1.60,NA,NA,3.74
2008,43.99,82.38,62.61,3.51,9.29,39.28,-13.95,-27.36,-37.26,-11.03,NA,NA,7.72
2009,57.63,78.16,57.04,4.55,10.20,35.78,-21.91,-47.51,-67.48,-14.12,NA,NA,4.96
2010,59.82,86.06,67.82,5.02,12.71,28.71,-25.39,-66.65,-55.16,-6.02,NA,NA,3.12
2011,67.81,87.52,68.16,7.31,14.95,24.41,-16.08,-52.02,-34.26,-2.52,NA,NA,1.93
2012,93.46,50.74,34.59,13.24,11.63,31.38,-24.81,-130.27,-45.21,-2.88,2.40,0.32,0.31
2013,69.82,89.24,78.40,17.16,6.10,59.83,-12.94,-168.63,-16.46,-0.80,-129.10,-71.95,0.23
2014,1.79,5256.95,5243.95,5.67,1.15,317.39,3.93,4.42,29.68,0.59,-122.00,-2.22,11.39
2015,70.48,14.42,10.71,10.60,NA,NA,-0.18,-2.05,-3.64,-0.23,0.22,0.15,11.16
2016,70.81,20.30,17.38,12.61,NA,NA,-4.30,-18.67,-13.95,-2.07,4.41,3.23,10.78
2017,29.13,88.01,84.91,13.82,NA,NA,2.60,4.16,4.42,0.51,34.90,9.35,15.95
