群聯,	8299
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2002,47.99,184.53,141.62,6.86,14.87,24.54,28.31,57.64,9.74,6.38,22.14,20.31,30.27
2003,57.70,161.92,116.56,6.52,11.85,30.80,30.42,67.52,10.06,14.19,14.74,19.87,28.07
2004,47.34,193.80,153.17,6.30,13.80,26.44,25.36,52.57,8.73,9.72,46.37,39.10,22.86
2005,38.38,244.26,178.56,6.95,11.16,32.70,26.57,45.43,9.35,12.25,*****,*****,33.89
2006,50.82,186.51,135.08,7.51,9.73,37.51,24.75,46.41,8.60,15.15,23.39,16.62,39.23
2007,35.58,247.44,181.18,10.00,10.94,33.36,20.59,35.56,6.88,14.15,48.75,20.97,49.38
2008,28.52,287.95,200.20,11.01,12.06,30.26,7.34,10.80,2.94,4.45,17.85,NA,41.77
2009,39.73,229.11,149.04,10.05,10.41,35.06,19.98,31.05,8.43,14.33,NA,NA,54.49
2010,35.00,258.59,192.86,10.11,11.26,32.41,11.28,17.93,4.77,8.57,52.31,19.55,50.09
2011,30.35,293.77,242.91,8.82,13.28,27.48,17.96,26.58,8.09,14.68,56.51,17.23,60.41
2012,28.75,309.82,264.44,7.92,13.34,27.36,16.45,23.32,8.15,15.00,76.28,20.25,68.29
2013,29.46,304.44,235.17,8.11,8.46,43.14,17.04,24.09,9.85,17.57,21.26,-1.44,77.70
2014,27.58,319.33,232.51,8.19,5.83,62.60,15.01,20.96,9.68,17.48,21.33,-3.36,89.06
2015,26.65,330.34,257.90,8.56,5.54,65.88,15.66,21.47,10.64,20.41,62.94,11.57,102.99
2016,28.08,300.48,241.07,9.48,6.59,55.38,15.91,22.05,10.97,24.67,66.87,15.30,116.67
2017,25.82,321.41,240.85,7.95,4.89,74.64,17.18,23.49,13.76,29.23,43.20,4.18,132.23
2018,26.14,324.92,243.81,7.43,4.29,85.08,12.08,16.30,10.59,21.91,55.34,6.73,136.56
