富堡,	8929
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,47.65,95.23,56.85,6.60,5.13,71.15,-0.96,-3.57,-2.40,-0.44,12.90,2.45,11.64
2001,56.10,102.12,88.43,6.45,6.02,60.63,-5.39,-14.08,-9.72,-1.54,NA,NA,10.23
2002,60.06,92.00,69.00,6.72,6.69,54.55,-6.00,-19.00,-12.00,-2.00,3.62,4.55,8.50
2003,63.62,82.00,62.00,6.53,5.91,61.75,-8.18,-25.27,-12.00,-1.92,10.88,6.92,6.72
2004,66.80,72.55,47.96,5.69,6.56,55.64,-6.02,-22.32,-7.68,-1.34,11.37,7.17,5.27
2005,77.06,62.00,38.00,7.07,7.93,46.02,-13.56,-52.85,-11.53,-2.19,NA,NA,3.02
2006,71.56,61.92,38.12,7.51,7.81,46.73,-12.54,-16.15,-2.91,-0.95,6.67,4.03,6.21
2007,67.34,67.90,40.08,9.37,9.81,37.20,3.29,5.97,1.11,0.41,10.40,5.99,7.59
2008,64.45,80.24,58.65,11.61,13.95,26.16,10.72,28.05,4.36,2.35,13.40,7.65,9.19
2009,34.48,158.38,121.48,10.41,14.16,25.77,20.35,37.57,10.27,5.57,75.42,18.18,17.27
2010,39.04,232.35,184.41,9.95,18.33,19.91,10.82,16.91,5.85,3.16,0.01,-5.25,19.82
2011,30.58,332.64,260.90,7.96,12.86,28.38,9.55,14.38,7.14,2.85,0.01,-5.25,20.53
2012,31.26,181.52,140.45,6.84,9.03,40.42,10.66,15.15,10.26,3.21,-9.17,-7.19,21.81
2013,33.99,235.56,199.06,4.88,9.93,36.75,6.95,10.78,5.73,2.52,19.55,1.08,22.80
2014,31.27,280.18,241.99,4.55,9.75,37.43,3.91,5.62,3.68,1.37,26.17,1.48,24.14
2015,31.53,289.31,257.66,4.64,10.63,34.33,3.71,5.25,3.52,1.32,0.73,0.00,23.95
2016,29.19,331.40,305.17,4.07,11.72,31.14,10.18,14.44,11.04,3.58,59.72,11.27,25.17
2017,31.36,308.86,274.76,5.38,14.06,25.96,8.38,12.01,7.76,2.78,74.32,14.61,22.99
2018,25.98,428.38,369.56,5.51,12.30,29.67,2.39,3.31,2.18,0.73,NA,NA,19.38
