偉聯,	9912
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2001,51.00,85.00,52.00,4.67,7.39,49.39,-3.00,-8.00,-7.00,-0.79,-21.04,-14.33,9.27
2003,57.00,100.00,61.00,9.53,5.22,69.92,-13.00,-30.00,-10.00,-2.08,NA,NA,5.84
2004,73.00,103.00,67.00,7.42,7.43,49.12,-19.00,-58.00,-11.85,-2.62,NA,NA,3.20
2005,72.00,112.00,49.00,7.43,7.27,50.20,-4.00,-17.00,-1.74,-0.90,NA,NA,5.27
2006,62.70,117.31,51.91,5.23,5.47,66.72,0.83,0.49,0.07,0.05,NA,NA,9.72
2007,62.70,107.73,40.45,5.26,5.14,71.01,5.28,12.24,2.42,1.25,NA,NA,10.71
2008,56.63,100.27,30.91,9.01,3.41,107.03,-4.81,-14.08,-4.99,-1.50,26.34,20.50,10.53
2009,53.41,95.98,47.79,17.46,2.43,150.20,-4.84,-12.40,-8.48,-1.23,47.70,29.71,9.28
2010,45.87,89.65,35.01,15.42,3.00,121.66,-3.42,-7.76,-6.32,-0.72,NA,NA,9.21
2011,46.36,94.83,35.18,13.24,2.83,128.97,1.17,1.53,1.33,0.15,18.38,6.66,9.93
2012,9.95,912.09,823.25,10.15,2.69,135.68,69.87,94.70,156.46,14.16,27.96,3.06,19.99
2013,19.67,433.02,320.31,8.18,2.66,137.21,-1.78,-2.18,-2.89,-0.37,-24.20,-33.31,14.71
2014,19.87,281.86,140.01,9.08,2.38,153.36,0.11,0.09,0.09,0.01,-29.16,-14.62,12.75
2015,34.33,158.18,60.68,9.41,2.10,173.80,-6.35,-8.99,-8.29,-1.08,-37.11,-28.54,10.63
2016,27.47,181.17,89.20,8.83,2.29,159.38,-0.78,-1.47,-1.09,-0.16,46.28,16.91,10.38
2017,28.45,184.39,87.69,8.45,2.53,144.26,1.36,1.54,1.15,0.16,6.44,2.45,10.73
