巨大,	9921
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,32.15,157.30,116.13,4.16,8.02,45.51,14.67,21.39,12.31,3.48,11.08,1.11,17.80
2001,33.37,151.98,126.31,3.07,7.70,47.40,8.85,12.68,9.61,2.08,3.71,1.54,17.30
2002,31.35,142.54,111.70,3.29,9.10,40.10,10.64,15.56,12.25,2.66,30.99,10.55,18.08
2003,33.37,112.27,83.90,4.03,8.49,42.99,14.27,21.02,16.44,4.04,20.53,4.39,20.35
2004,38.82,104.80,72.29,4.69,8.04,45.39,12.78,19.92,12.94,4.07,6.75,-9.07,20.49
2005,38.59,110.56,84.35,4.60,8.97,40.69,12.11,19.57,10.68,4.10,29.96,3.30,21.41
2006,37.98,98.43,71.41,3.92,8.35,43.71,10.34,16.55,11.22,3.61,26.68,1.59,22.26
2007,42.60,93.73,68.73,4.34,8.30,43.97,15.72,26.09,16.34,6.47,1.63,-8.55,27.34
2008,45.31,100.34,69.19,4.65,7.85,46.49,16.55,29.00,14.59,8.30,9.39,-1.28,31.39
2009,35.29,106.65,76.47,3.91,6.43,56.76,14.25,23.57,15.51,6.71,24.49,6.90,30.78
2010,37.28,103.36,76.34,4.39,8.57,42.59,13.85,21.64,14.28,7.17,4.94,0.00,34.46
2011,36.29,95.80,67.78,4.19,8.02,45.51,13.76,21.62,15.84,8.04,26.08,1.17,39.89
2012,40.45,87.42,64.13,4.42,8.21,44.45,12.29,19.79,14.16,8.02,9.81,0.00,41.20
2013,56.62,148.30,89.16,5.20,3.52,103.69,9.09,21.48,6.44,9.34,26.57,13.35,46.36
2014,56.74,149.85,93.03,5.52,3.67,99.45,9.82,22.37,6.85,10.96,16.76,5.83,51.67
2015,55.59,151.95,88.77,5.32,3.37,108.30,8.67,19.35,6.36,10.25,11.63,0.82,54.28
2016,55.76,151.89,88.94,4.96,3.10,117.74,6.94,15.20,5.37,8.17,10.35,0.20,53.24
2017,56.04,149.35,85.52,4.56,2.93,124.57,4.70,10.38,3.72,5.48,12.26,3.47,52.31
2018,57.69,143.93,83.31,4.55,3.04,120.06,6.10,14.17,4.75,7.64,9.91,4.16,55.47
