三發地產,	9946
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2002,19.92,281.03,236.34,4.50,6.20,58.87,6.62,7.79,7.05,1.01,52.10,7.86,12.89
2003,24.37,236.70,182.99,4.82,4.57,79.86,7.64,9.82,6.85,1.23,39.68,7.58,12.80
2004,23.12,230.15,154.44,5.49,3.10,117.74,10.20,13.37,8.18,1.69,51.48,9.57,13.07
2005,29.26,264.11,168.32,5.29,2.09,174.64,0.13,0.04,0.03,0.00,34.75,0.34,11.72
2006,28.03,269.06,123.58,6.27,1.48,246.62,1.93,2.37,2.07,0.28,10.77,1.82,12.00
2007,29.90,279.42,143.73,7.29,1.69,215.97,-6.94,-10.13,-8.01,-1.10,-0.09,-0.13,10.30
2008,53.79,164.80,157.37,8.37,1.51,241.72,-4.60,-9.66,-10.04,-0.79,-101.53,-88.12,8.76
2009,50.05,207.35,54.12,31.23,0.61,598.36,2.13,3.34,3.05,0.34,-47.22,-31.91,8.81
2010,74.44,132.89,16.09,22.28,0.15,2433.33,3.33,10.23,16.03,1.18,-75.36,-190.89,11.31
2011,68.05,143.90,12.88,71.86,0.19,1921.05,5.72,19.37,23.92,2.49,-35.34,-70.59,14.06
2012,65.46,159.52,14.51,11.03,0.24,1520.83,7.89,23.58,24.61,3.69,-26.36,-36.69,16.89
2013,62.99,170.96,19.97,228.84,0.42,869.04,13.74,41.31,24.78,6.71,11.07,4.64,18.50
2014,73.22,142.81,9.19,89.43,0.05,7300.00,0.32,1.23,6.82,0.21,-26.55,-67.53,16.14
2015,58.12,222.96,27.35,269.20,0.35,1042.85,7.52,18.72,14.87,3.02,39.26,31.18,17.55
2016,53.53,257.63,32.57,52.54,0.22,1659.09,4.84,8.59,14.91,1.53,27.34,12.63,18.12
2017,54.83,266.50,23.42,22.56,0.12,3041.66,4.69,8.13,23.96,1.51,-21.36,-14.37,19.13
