味全,	1201
Year,最高價,日期,最低價,日期,收盤平均價
2000,19.00,2/22,6.40,12/28,10.46
2001,14.80,3/23,4.55,11/05,7.95
2002,14.15,12/11,5.60,10/08,7.64
2003,15.60,1/21,7.20,5/02,9.75
2004,18.30,4/20,9.55,1/02,12.58
2005,13.00,1/03,8.01,10/20,10.14
2006,23.15,12/29,8.13,3/29,12.47
2007,30.50,4/23,14.00,12/21,23.83
2008,24.50,4/24,13.10,10/28,19.14
2009,48.85,12/10,15.85,3/03,34.25
2010,44.00,1/07,28.55,2/06,36.16
2011,40.90,8/02,26.20,9/27,33.35
2012,37.30,3/03,29.30,6/04,33.01
2013,60.10,10/15,36.25,1/02,49.96
2014,52.50,1/02,21.95,10/17,40.74
2015,26.80,1/26,15.85,12/10,21.54
2016,23.20,3/15,16.65,1/14,19.00
2017,21.55,10/27,17.35,1/10,18.94
