精華,	1565
Year,最高價,日期,最低價,日期,收盤平均價
2004,49.20,03/30,27.30,08/19,35.56
2005,81.30,08/09,42.50,01/04,61.52
2006,149.50,12/29,71.30,01/23,105.51
2007,175.00,07/10,126.00,04/20,144.45
2008,154.50,05/19,95.10,10/13,127.98
2009,191.00,12/31,102.50,01/15,147.32
2010,445.00,12/06,183.00,01/26,289.62
2011,456.50,08/01,267.00,12/15,382.48
2012,460.00,12/03,286.00,01/13,373.22
2013,913.00,10/24,430.00,01/17,729.64
2014,870.00,02/20,457.00,11/17,656.05
2015,692.00,12/23,282.00,08/26,499.88
2016,834.00,08/17,525.00,01/12,674.97
2017,1025.00,12/21,521.00,02/24,681.87
