中纖,	1718
Year,最高價,日期,最低價,日期,收盤平均價
2000,12.50,2/23,1.67,12/08,5.85
2001,4.09,2/20,2.00,1/02,2.95
2002,10.30,4/25,3.19,1/15,7.53
2003,21.00,2/06,7.55,5/06,14.17
2004,25.60,4/13,14.35,8/09,18.60
2005,18.30,1/03,7.53,9/29,12.68
2006,9.64,1/09,5.05,9/15,7.54
2007,17.20,10/23,6.51,3/05,10.41
2008,13.20,5/20,3.44,11/21,8.33
2009,7.32,6/02,3.58,3/03,5.73
2010,16.55,11/12,6.43,2/06,10.83
2011,18.15,2/22,8.38,12/20,12.68
2012,13.80,2/13,8.48,6/04,10.59
2013,14.05,7/26,9.91,3/04,11.97
2014,13.05,1/08,7.40,10/16,10.47
2015,12.55,1/14,7.70,12/14,9.77
2016,9.27,12/14,6.96,6/17,7.83
2017,10.90,11/30,7.63,5/10,8.81
