生達,	1720
Year,最高價,日期,最低價,日期,收盤平均價
2000,44.70,2/21,15.40,11/21,28.49
2001,30.80,3/21,18.10,1/02,22.78
2002,26.40,4/29,16.40,9/30,21.00
2003,22.90,5/05,17.30,8/15,18.95
2004,21.80,2/04,15.60,8/18,17.72
2005,26.60,10/24,17.60,8/17,19.03
2006,22.20,2/20,14.30,8/29,18.23
2007,52.60,7/26,18.15,1/11,27.49
2008,33.50,4/21,15.50,10/28,23.11
2009,32.00,8/27,18.85,1/21,26.23
2010,38.50,10/27,23.00,2/06,29.37
2011,33.80,5/04,21.40,12/19,27.86
2012,28.75,10/08,22.30,6/04,25.02
2013,53.80,10/29,25.85,1/17,36.64
2014,47.80,7/04,34.50,12/01,41.01
2015,43.20,11/24,24.10,8/24,34.58
2016,38.30,3/17,30.90,5/16,33.50
2017,39.70,12/04,31.60,8/15,33.48
