華豐,	2109
Year,最高價,日期,最低價,日期,收盤平均價
2000,22.30,5/08,6.00,12/30,12.25
2001,12.35,3/28,5.35,9/28,7.55
2002,18.30,8/01,6.15,1/02,11.72
2003,20.60,1/27,11.70,9/12,14.28
2004,18.10,2/17,9.80,10/29,12.80
2005,11.20,1/12,6.31,10/31,8.66
2006,9.21,5/11,5.85,9/14,7.54
2007,13.10,7/06,7.05,3/19,9.30
2008,12.95,4/21,4.47,9/18,8.35
2009,18.65,12/10,7.69,1/19,11.67
2010,18.30,1/05,8.72,11/26,12.28
2011,11.30,7/21,5.69,11/24,8.81
2012,8.34,2/15,4.91,5/28,6.37
2013,20.40,12/30,6.00,1/25,10.29
2014,25.30,2/26,19.20,10/27,21.94
2015,21.80,1/05,10.60,12/31,15.94
2016,13.60,3/29,9.42,1/13,11.28
2017,14.00,12/26,10.30,5/26,11.24
2018,17.20,6/13,11.20,11/28,14.08
2019,14.00,1/02,9.51,5/23,11.71
