光寶科,	2301
Year,最高價,日期,最低價,日期,收盤平均價
2000,64.50,2/21,11.15,12/30,41.39
2001,28.90,3/30,10.30,9/24,18.60
2002,50.50,11/26,22.60,10/08,33.86
2003,47.10,1/15,30.80,5/02,38.27
2004,41.80,3/05,29.00,11/01,34.63
2005,46.20,12/29,31.00,4/21,36.32
2006,56.80,5/09,38.10,10/12,44.64
2007,62.80,7/26,38.50,5/15,47.51
2008,56.80,1/02,17.30,10/28,31.79
2009,48.90,12/31,19.30,1/20,32.57
2010,49.50,1/19,33.50,6/07,40.07
2011,41.70,1/17,26.75,10/04,34.26
2012,40.25,12/07,33.70,4/23,36.93
2013,54.10,5/07,38.00,1/10,48.36
2014,55.50,7/28,35.15,12/19,45.23
2015,42.90,3/13,27.00,8/24,35.85
2016,50.60,12/15,29.70,1/11,43.10
2017,55.00,3/23,36.05,11/14,47.05
2018,44.30,2/27,32.80,10/12,38.88
