台積電,	2330
Year,最高價,日期,最低價,日期,收盤平均價
2000,222.00,2/11,74.50,12/27,146.30
2001,105.50,2/01,43.60,10/03,77.74
2002,97.50,4/02,34.90,10/08,67.42
2003,72.50,9/09,40.10,2/12,56.42
2004,68.50,3/05,40.70,7/27,52.36
2005,64.30,12/27,46.20,1/14,54.08
2006,70.00,4/21,52.30,7/24,61.34
2007,73.10,7/13,57.40,11/22,65.52
2008,69.80,5/19,36.40,11/21,56.44
2009,65.20,10/01,38.70,1/21,55.48
2010,75.00,12/17,57.00,2/08,62.01
2011,78.30,1/19,62.20,8/09,72.09
2012,99.40,12/13,73.80,7/23,84.08
2013,116.50,5/14,92.90,8/22,104.09
2014,142.00,12/01,100.50,2/05,122.53
2015,155.00,3/19,112.50,8/24,139.84
2016,193.00,10/25,130.50,1/14,166.36
2017,245.00,11/01,179.00,1/16,210.09
