友達,	2409
Year,最高價,日期,最低價,日期,收盤平均價
2000,75.00,9/14,19.20,12/30,34.62
2001,41.70,4/24,11.35,10/05,27.63
2002,62.50,2/19,15.60,10/14,35.72
2003,49.90,10/22,17.20,5/02,31.57
2004,79.50,4/19,33.00,11/02,49.84
2005,56.40,6/17,34.80,10/19,47.51
2006,56.40,4/21,40.00,6/08,47.54
2007,72.50,11/07,43.20,1/31,53.87
2008,63.50,5/07,17.80,11/21,43.17
2009,39.30,7/21,22.55,1/21,31.95
2010,42.15,1/11,27.15,8/25,32.35
2011,30.60,1/04,11.70,10/21,19.28
2012,18.00,2/03,8.19,8/07,12.49
2013,14.25,1/04,8.43,11/19,11.45
2014,16.80,12/29,8.80,2/06,12.41
2015,19.15,1/12,8.03,12/14,12.93
2016,13.75,8/08,8.21,2/15,10.66
2017,14.40,6/28,11.40,5/12,12.37
2018,14.45,1/29,11.20,10/19,12.81
2019,12.75,1/29,6.92,8/15,9.59
