兆勁,	2444
Year,最高價,日期,最低價,日期,收盤平均價
2000,100.50,12/08,66.00,12/30,80.67
2001,116.00,4/19,33.30,10/09,71.56
2002,88.00,1/02,23.50,9/09,48.89
2003,29.70,1/14,11.25,9/10,16.88
2004,27.40,3/05,6.05,11/02,13.76
2005,14.60,7/13,6.70,1/25,9.91
2006,19.30,12/28,5.80,8/29,9.32
2007,34.50,7/26,12.15,12/24,21.66
2008,18.40,6/05,4.65,11/21,10.67
2009,16.80,12/22,4.65,1/20,10.44
2010,18.20,7/23,10.00,2/09,13.09
2011,12.85,1/04,4.79,8/09,8.24
2012,9.50,3/05,5.60,11/22,7.23
2013,8.54,11/05,5.73,8/28,6.64
2014,17.15,11/06,7.28,1/02,11.29
2015,20.35,1/22,7.50,9/15,13.32
2016,16.85,4/14,9.40,1/18,12.92
2017,43.00,10/16,11.05,1/12,23.37
