皇普,	2528
Year,最高價,日期,最低價,日期,收盤平均價
2000,10.00,2/22,0.99,12/29,2.99
2001,2.50,2/21,0.39,11/30,0.95
2002,4.10,4/30,0.61,1/02,1.40
2003,2.14,1/28,0.28,5/26,0.73
2004,1.59,2/20,0.28,12/02,0.60
2005,0.93,1/18,0.47,12/12,0.71
2006,5.44,12/13,0.43,2/20,2.56
2007,4.47,7/25,2.10,11/07,3.45
2008,3.99,3/14,0.74,12/10,2.37
2009,3.31,10/22,0.55,3/12,1.98
2010,24.35,11/01,2.21,1/06,9.53
2011,23.00,1/05,8.89,11/28,15.96
2012,11.85,2/16,7.78,7/31,9.52
2013,17.50,5/22,8.86,1/22,12.39
2014,16.40,4/18,9.90,10/30,13.26
2015,13.45,4/20,8.20,12/31,10.59
2016,8.84,5/12,5.96,11/07,6.87
2017,26.95,9/26,6.11,1/06,14.99
