第一店,	2706
Year,最高價,日期,最低價,日期,收盤平均價
2000,149.00,9/06,101.50,12/30,133.26
2001,108.00,4/25,89.00,12/13,96.80
2002,107.00,3/13,14.80,10/15,65.30
2003,20.30,1/16,13.80,5/05,16.93
2004,26.60,2/09,16.30,8/18,18.83
2005,27.90,6/14,17.00,4/21,21.70
2006,40.20,5/09,20.80,3/29,30.13
2007,45.90,7/24,26.00,12/18,35.20
2008,44.60,6/10,14.80,10/28,29.33
2009,34.00,5/22,16.70,3/03,24.90
2010,35.60,9/06,22.80,5/25,27.93
2011,33.95,1/03,17.70,12/20,25.38
2012,21.90,9/24,17.95,6/07,19.63
2013,20.60,1/10,18.50,9/03,19.31
2014,22.65,7/15,18.75,5/12,19.75
2015,22.80,5/04,18.00,8/31,20.27
2016,19.45,3/10,15.85,11/29,17.73
2017,17.55,3/29,15.35,12/19,16.47
2018,16.05,1/17,13.50,10/30,14.81
2019,16.30,7/23,13.95,1/04,14.92
