新產,	2850
Year,最高價,日期,最低價,日期,收盤平均價
2000,26.90,5/22,8.40,11/21,14.51
2001,15.40,3/30,7.40,9/24,10.91
2002,12.50,4/23,6.35,10/04,8.98
2003,16.70,10/30,7.10,5/05,10.44
2004,28.90,3/05,12.95,8/05,18.72
2005,19.30,1/04,12.00,10/28,15.28
2006,18.40,12/05,12.30,8/24,14.92
2007,23.80,6/26,15.90,12/21,18.79
2008,19.90,5/05,7.17,10/28,14.89
2009,18.55,12/28,8.30,2/24,12.86
2010,31.60,5/03,17.60,1/05,26.09
2011,30.20,1/03,13.95,12/20,21.11
2012,21.35,7/30,14.85,1/09,18.92
2013,24.20,11/29,19.90,1/02,22.06
2014,26.10,8/28,21.50,10/17,24.22
2015,25.45,4/23,18.20,8/24,23.14
2016,27.45,12/16,21.55,1/18,23.94
2017,29.45,11/20,25.00,4/20,26.43
2018,41.90,9/03,27.60,2/09,34.55
