神基,	3005
Year,最高價,日期,最低價,日期,收盤平均價
2002,63.00,4/04,25.60,12/20,39.13
2003,29.50,1/15,14.65,10/06,19.52
2004,18.20,3/10,12.00,7/22,14.71
2005,30.50,10/07,15.10,1/07,23.25
2006,27.10,1/13,9.85,9/15,15.69
2007,53.00,7/24,12.10,3/06,30.81
2008,29.30,5/05,9.65,11/21,18.82
2009,34.65,10/08,12.70,1/21,22.77
2010,31.40,1/05,16.25,8/31,21.20
2011,20.85,9/14,12.30,8/03,15.88
2012,28.85,3/28,12.65,11/01,20.12
2013,17.55,5/27,13.25,4/16,15.14
2014,18.10,4/07,14.20,10/16,16.26
2015,26.25,6/25,16.45,1/05,20.57
2016,42.85,10/26,18.05,1/18,27.58
2017,48.95,2/02,38.00,8/02,41.94
2018,49.00,1/04,33.70,10/25,41.92
