亞光,	3019
Year,最高價,日期,最低價,日期,收盤平均價
2002,199.00,12/03,120.00,10/11,155.28
2003,250.00,12/08,151.00,4/28,193.03
2004,331.00,4/20,124.00,7/20,214.44
2005,251.00,7/13,155.00,1/14,205.46
2006,233.00,1/06,128.50,12/13,155.02
2007,163.00,7/06,75.50,12/21,130.97
2008,94.60,4/17,29.05,11/21,61.79
2009,72.80,12/31,34.10,3/03,48.97
2010,78.00,1/06,43.50,5/26,55.59
2011,78.50,3/11,20.95,12/20,46.16
2012,38.90,3/03,22.55,1/31,29.17
2013,35.90,5/30,26.80,1/17,30.24
2014,53.20,9/04,28.65,5/16,37.36
2015,47.00,3/04,22.00,8/25,35.31
2016,32.75,9/08,23.00,5/04,28.40
2017,143.00,9/11,30.45,1/03,77.87
2018,126.50,1/29,51.30,10/30,85.98
