晶技,	3042
Year,最高價,日期,最低價,日期,收盤平均價
2002,22.70,8/26,13.10,12/25,18.19
2003,27.30,11/20,10.20,5/02,17.73
2004,28.50,3/01,13.50,11/01,19.02
2005,30.55,12/23,13.75,1/25,21.51
2006,57.50,5/22,27.90,1/02,43.93
2007,87.50,7/11,48.50,12/18,64.50
2008,66.00,5/15,17.40,11/19,44.12
2009,59.30,12/31,19.85,1/21,36.91
2010,60.00,9/06,44.05,2/06,54.36
2011,58.40,4/15,29.00,8/26,45.93
2012,52.80,10/23,34.35,1/16,45.81
2013,48.90,2/06,30.20,11/12,40.91
2014,49.25,6/06,33.95,12/01,40.54
2015,44.30,6/02,28.15,8/24,37.36
2016,47.40,7/13,32.50,1/14,41.69
2017,46.50,2/14,38.85,12/05,42.35
2018,44.80,1/18,30.00,10/30,36.34
2019,49.20,12/20,31.50,1/16,37.12
