東洋,	4105
Year,最高價,日期,最低價,日期,收盤平均價
2001,74.50,12/13,41.20,10/05,53.68
2002,97.00,07/09,67.00,08/05,79.06
2003,81.50,07/02,56.00,12/30,65.48
2004,63.00,02/03,36.00,08/12,48.92
2005,45.20,02/22,36.60,10/03,39.82
2006,38.20,01/13,24.80,11/14,31.26
2007,82.20,07/25,27.50,03/06,46.21
2008,62.70,04/16,29.20,10/13,44.17
2009,134.50,07/20,35.35,01/21,93.41
2010,164.00,10/05,72.50,02/06,116.42
2011,178.00,05/11,75.50,12/19,135.92
2012,141.00,03/19,81.80,01/02,111.93
2013,122.00,10/07,86.50,12/17,104.96
2014,106.00,05/06,49.80,10/27,83.74
2015,129.00,12/17,63.60,03/31,90.57
2016,137.00,10/03,92.80,12/19,111.18
2017,120.50,03/07,87.10,09/28,102.39
