久威,	6114
Year,最高價,日期,最低價,日期,收盤平均價
2001,18.60,12/17,8.50,10/08,11.99
2002,27.80,03/14,9.95,10/11,16.54
2003,16.40,07/23,10.00,04/30,12.51
2004,35.20,12/24,9.70,07/01,14.65
2005,36.90,01/03,7.70,11/09,10.91
2006,13.30,01/16,8.90,11/06,9.88
2007,15.55,08/06,6.13,11/09,9.90
2008,8.20,01/29,3.29,11/25,5.08
2009,14.85,06/22,3.39,01/09,7.79
2010,5.95,01/15,2.59,10/08,4.67
2011,5.25,01/14,1.87,09/07,3.32
2012,5.66,04/03,1.75,08/09,3.12
2013,14.30,12/23,3.75,04/29,9.72
2014,100.50,09/19,11.50,01/02,60.64
2015,85.80,01/07,30.55,08/06,51.94
2016,74.50,03/23,42.75,05/13,58.23
2017,86.70,05/09,41.10,12/26,71.94
