建達,	6118
Year,最高價,日期,最低價,日期,收盤平均價
2001,44.00,12/31,13.75,11/09,23.57
2002,43.60,01/22,13.30,10/11,23.98
2003,21.00,07/16,11.45,05/05,15.34
2004,17.70,04/23,6.10,12/20,12.39
2005,12.30,09/08,5.12,04/20,7.60
2006,34.10,12/29,8.30,03/23,11.80
2007,57.60,01/11,17.80,12/21,30.83
2008,25.90,04/15,7.31,11/20,16.69
2009,26.80,12/31,9.36,01/05,15.77
2010,30.80,01/19,17.50,11/26,24.07
2011,21.10,01/04,9.40,12/20,16.10
2012,16.30,03/12,8.31,10/30,13.00
2013,12.35,04/03,9.20,11/12,10.57
2014,15.25,09/11,9.36,08/18,12.30
2015,13.80,02/04,6.72,08/24,10.70
2016,9.90,03/15,5.23,05/16,7.07
2017,7.83,03/06,6.28,04/17,7.14
