金橋,	6133
Year,最高價,日期,最低價,日期,收盤平均價
2003,28.70,8/25,18.50,10/14,21.14
2004,33.30,4/06,19.10,8/11,23.62
2005,26.80,3/31,15.90,11/08,20.46
2006,32.60,5/22,19.95,2/21,24.61
2007,35.95,1/30,17.55,12/18,27.11
2008,20.35,4/21,7.01,11/20,14.01
2009,14.95,12/31,7.12,1/21,10.30
2010,19.40,5/17,9.68,11/04,13.44
2011,12.40,2/21,6.69,12/19,9.57
2012,9.39,7/06,6.81,8/13,7.89
2013,11.50,5/30,8.20,3/05,8.96
2014,14.75,4/16,8.74,10/16,11.11
2015,12.20,4/08,8.25,8/25,10.53
2016,10.40,1/19,8.55,11/14,9.50
2017,13.45,9/25,9.00,5/18,10.01
2018,12.45,1/16,7.61,10/11,9.43
