耕興,	6146
Year,最高價,日期,最低價,日期,收盤平均價
2002,75.00,03/11,40.60,01/23,61.96
2003,61.50,07/28,47.30,12/18,53.78
2004,66.00,06/24,40.60,12/28,53.19
2005,62.40,07/25,38.30,03/30,46.34
2006,60.90,01/03,41.70,11/17,48.79
2007,63.50,08/10,42.00,03/06,50.28
2008,51.50,04/23,26.20,11/20,40.30
2009,68.50,08/14,27.35,01/05,57.60
2010,73.00,04/29,57.20,02/06,66.17
2011,82.10,05/03,58.50,08/09,70.04
2012,73.60,08/13,59.00,01/16,66.85
2013,149.50,12/20,65.00,01/02,99.14
2014,178.00,09/24,113.50,01/14,144.35
2015,230.00,07/07,153.50,01/07,188.05
2016,205.50,01/04,143.50,10/13,171.84
2017,192.50,03/22,146.00,09/26,161.17
