天品,	6199
Year,最高價,日期,最低價,日期,收盤平均價
2002,37.50,11/14,23.50,11/04,31.02
2003,36.00,02/21,24.50,08/20,30.20
2004,44.30,03/11,12.10,12/29,25.27
2005,14.80,07/11,9.12,10/11,11.80
2006,15.00,12/29,4.76,08/14,8.60
2007,31.90,07/06,10.65,01/15,17.08
2008,19.30,08/14,7.88,12/29,13.95
2009,16.80,03/27,6.92,01/14,13.67
2010,17.70,01/19,8.30,11/23,13.69
2011,10.85,03/23,4.22,09/23,8.50
2012,22.50,12/18,4.99,01/13,13.33
2013,24.70,01/16,4.01,07/03,9.31
2014,26.75,03/21,9.72,01/20,17.02
2015,20.50,01/14,10.10,07/16,17.57
2016,29.35,10/07,8.82,01/29,21.06
2017,27.90,09/11,15.80,06/26,21.77
