日揚,	6208
Year,最高價,日期,最低價,日期,收盤平均價
2002,23.30,12/23,22.20,12/25,22.68
2003,40.30,09/15,21.70,03/10,31.04
2004,37.80,02/16,25.40,08/17,30.60
2005,31.05,04/12,20.00,09/27,25.41
2006,43.90,04/19,24.00,09/14,31.15
2007,37.10,03/29,19.00,12/27,29.49
2008,19.85,01/02,8.19,11/21,14.50
2009,15.60,12/17,8.93,06/08,12.26
2010,16.95,12/27,11.40,03/01,13.99
2011,21.20,09/05,11.10,11/24,16.69
2012,15.60,03/28,9.71,08/07,13.12
2013,12.95,12/23,10.15,01/17,11.28
2014,25.25,04/15,11.45,02/05,19.10
2015,16.85,03/10,8.52,08/25,13.69
2016,15.10,10/21,10.00,01/18,12.73
2017,32.05,11/24,13.65,01/04,22.26
