大汽電,	8931
Year,最高價,日期,最低價,日期,收盤平均價
2001,14.90,05/10,9.45,07/25,11.28
2002,19.10,01/25,9.65,10/09,13.51
2003,14.90,01/21,10.90,04/30,11.88
2004,14.60,02/13,10.20,11/01,11.67
2005,11.50,01/10,8.85,10/31,9.93
2006,10.30,12/29,8.95,09/12,9.61
2007,15.40,07/12,9.86,03/09,12.39
2008,25.15,05/22,6.73,10/27,12.45
2009,14.65,11/10,6.70,01/21,11.24
2010,18.20,07/09,11.50,02/06,15.08
2011,16.40,03/29,11.40,10/11,14.50
2012,18.15,03/02,12.30,01/02,15.35
2013,20.65,08/20,14.50,01/02,17.89
2014,25.80,04/29,19.30,01/10,22.95
2015,41.40,04/29,18.20,08/26,28.66
2016,25.15,06/02,18.50,08/25,21.93
2017,24.00,01/24,19.75,03/09,21.87
